bookID,title,authors,average_rating,  num_pages
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,260
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,873
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,514
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,960
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,837
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,80
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,803
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,752
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,803
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,360
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,160
163,The Untouchable,John Banville,3.95,367
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,256
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,320
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.20,100
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,224
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.40,216
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.00,48
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,360
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.00,250
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.60,32
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.00,205
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,367
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,352
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,320
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.60,331
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.90,244
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,215
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,191
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,144
231,I am Charlotte Simmons,Tom Wolfe,3.42,738
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,48
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,287
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,217
247,Quiet Days in Clichy,Henry Miller,3.69,154
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,318
250,Tropic of Capricorn,Henry Miller,3.78,348
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.10,316
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,506
253,The Air-Conditioned Nightmare,Henry Miller,3.83,292
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,797
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,635
