bookID,title,authors,Available
1252,Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,True
1255,Leadership in Organizations,Gary Yukl,True
1265,Leadership,Rudolph W. Giuliani,True
1274,Men Are from Mars  Women Are from Venus,John Gray,True
1276,Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,True
1281,Men Are from Mars  Women Are from Venus,John Gray,True
1290,How to Succeed with Women,Ron  Louis/David Copeland,True
1295,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,True
1296,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,True
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,True
1302,Juiced Official Strategy Guide,Doug Walsh,True
1303,The 48 Laws of Power,Robert Greene/Joost Elffers,True
1305,Gates of Fire,Steven Pressfield,True
1307,Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,True
1312,The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,True
1315,The Afghan Campaign,Steven Pressfield,True
1317,Tides of War,Steven Pressfield,True
1318,Last of the Amazons,Steven Pressfield,True
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,True
1320,Gita on the Green,Stephen J. Rosen/Steven Pressfield,True
1322,Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield,True
1326,Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,True
1327,Phaedrus,Plato/Robin Waterfield,True
1328,Phaedrus,Plato/C.J. Rowe,True
1334,Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,True
1337,Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,True
1338,On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,True
1342,Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,True
1351,Statesman,Plato/C.J. Rowe,True
1354,Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones,True
1362,The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,True
1363,The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,True
1364,The History (Great Minds),Herodotus/Henry Francis Cary,True
1365,The Histories,Herodotus/Carolyn Dewald/Robin Waterfield,True
1366,The Histories,Herodotus/Aubrey de Sélincourt/Andrew Robert Burn,True
1367,The Histories,Herodotus/Jennifer Tolbert Roberts/Walter Blanco,True
1368,The Histories,Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas,True
1369,The History,Herodotus/Peter Grene,True
1371,The Iliad,Homer/Robert Fagles/Bernard Knox,True
1373,Iliad,Homer/Stanley Lombardo/Sheila Murnaghan,True
1374,The Iliad,Homer/Robert Fitzgerald/Andrew Ford,True
1375,The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,True
1376,The Iliad,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,True
1377,The Iliad,Homer/W.H.D. Rouse,True
1378,The Essential Iliad,Homer/Sheila Murnaghan/Stanley Lombardo,True
1381,The Odyssey,Homer/Robert Fagles/Bernard Knox,True
1382,The Odyssey,Homer/Robert Fitzgerald/D.S. Carne-Ross,True
1383,The Odyssey,Homer/Richmond Lattimore,True
1384,The Odyssey,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,True
1387,The Odyssey,Homer/W.H.D. Rouse,True
1391,Aeneid: Selections from Books 1  2  4  6  10  12,Virgil/Barbara Weiden Boyd,True
1402,Eclogues. Georgics. Aeneid: Books 1-6,Virgil/Henry Rushton Fairclough/G.P. Goold,True
1403,City Eclogue,Ed Roberson,True
1405,The Eclogues and The Georgics,Virgil/Cecil Day-Lewis,True
1408,Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas,Paul  Kirk,True
1417,The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,True
1419,The Complete Works,William Shakespeare,True
1420,Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,True
1423,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield,True
1424,The Pilgrimage: A Contemporary Quest for Ancient Wisdom,Paulo Coelho/Alan R. Clarke,True
1425,The Valkyries,Paulo Coelho/Alan R. Clarke,True
1426,Warrior of the Light,Paulo Coelho,True
1427,The Zahir,Paulo Coelho/Margaret Jull Costa,True
1428,By the River Piedra I Sat Down and Wept,Paulo Coelho/Alan R. Clarke,True
1429,The Fifth Mountain,Paulo Coelho/Clifford E. Landers,True
1431,Veronika Decides to Die,Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal,True
1433,Hamlet,William Shakespeare/Stephen Orgel/A.R. Braunmuller,True
1437,Cliffs Notes on Shakespeare's Hamlet,Carla Lynn Stockton,True
1438,Shakespeare's Hamlet,William Shakespeare/Terri Mategrano,True
1439,Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,True
1440,History of the Peloponnesian War: Bk. 1-2,Thucydides/C.F. Smith,True
1441,On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War,Thucydides/Paul Woodruff,True
1444,History of the Peloponnesian War: Bk. 5-6,Thucydides/C.F. Smith,True
1445,The Peloponnesian War,Thucydides/Steven Lattimore,True
1449,The Peloponnesian War: A New Translation  Backgrounds  Interpretations,Thucydides/Jennifer Tolbert Roberts/Walter Blanco,True
1459,History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,True
1461,Thucydides  Book 6 Commentary,Cynthia W. Shelmerdine,True
1462,Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone,True
1463,Euripides V: Electra / The Phoenician Women / The Bacchae,Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith,True
1465,Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis,Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker,True
1466,Grief Lessons: Four Plays by Euripides,Anne Carson/Euripides,True
1467,Ten Plays,Euripides/Moses Hadas/John Maclean,True
1468,Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7),Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts,True
1470,Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen,Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith,True
1473,Medea and Other Plays,Euripides/John Davie/Richard Rutherford,True
1474,Cyclops / Alcestis / Medea,Euripides/David Kovacs,True
1475,Medea,Euripides/Donald J. Mastronarde,True
1476,The Bacchae and Other Plays,Euripides/John Davie/Richard Rutherford,True
1479,Bakkhai,Euripides/Reginald Gibbons/Peter H. Burian,True
1480,Plays 1: Medea/The Phoenician Women/Bacchae,Euripides/David Thompson/J. Michael Walton,True
1486,The Trojan Women and Hippolytus,Euripides,True
1488,The Bacchae of Euripides: A Communion Rite,Wole Soyinka,True
1489,Orestes and Other Plays,Euripides/James Morwood/Robin Waterfield,True
1491,Children of Heracles / Hippolytus / Andromache / Hecuba,Euripides/David Kovacs,True
1494,Alcestis,Euripides/William Arrowsmith,True
